0x42, 0x20, 0x20, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 
0x00, 0x00, 0x01, 0x21, 0x00, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 0x00, 0x02, 0xa5, 0x58, 
0x41, 0x00, 0x00, 0x00, 0x00, 0x00, 0x01, 0x21, 0x00, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 
0x00, 0x02, 0xa5, 0x58, 0x41, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 0x00, 0x19, 0x44, 0x44, 
0x86, 0x00, 0x00, 0x00, 0x00, 0x02, 0xa5, 0x58, 0x41, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 
0x00, 0x19, 0x44, 0x44, 0x86, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 0x00, 0x37, 0x59, 0xa9, 
0xa9, 0x00, 0x00, 0x00, 0x00, 0x19, 0x44, 0x44, 0x86, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 
0x00, 0x37, 0x59, 0xa9, 0xa9, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 0x00, 0x37, 0xa9, 0x4b, 
0x45, 0x00, 0x00, 0x00, 0x00, 0x37, 0x59, 0xa9, 0xa9, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 
0x00, 0x37, 0xa9, 0x4b, 0x45, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 0x00, 0x37, 0x48, 0x46, 
0x56, 0x00, 0x00, 0x00, 0x00, 0x37, 0xa9, 0x4b, 0x45, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 
0x00, 0x37, 0x48, 0x46, 0x56, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 0x02, 0x47, 0x65, 0x75, 
0x67, 0x41, 0x00, 0x00, 0x00, 0x37, 0x48, 0x46, 0x56, 0x00, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 
0x02, 0x47, 0x65, 0x75, 0x67, 0x41, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 0x04, 0x44, 0x56, 0x55, 
0x84, 0x72, 0x00, 0x00, 0x02, 0x47, 0x65, 0x75, 0x67, 0x41, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 
0x04, 0x44, 0x56, 0x55, 0x84, 0x72, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 0x03, 0x84, 0x44, 0x44, 
0x45, 0xb2, 0x00, 0x00, 0x04, 0x44, 0x56, 0x55, 0x84, 0x72, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 
0x03, 0x84, 0x44, 0x44, 0x45, 0xb2, 0x00, 0x00, 0x00, 0x20, 0x00, 0x00, 0x04, 0x8a, 0xaa, 0x4b, 
